00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
02;159;----;Fallfors;;Sweden;6;65-07N;020-46E;;;195;0;
02;160;----;Nattavaara;;Sweden;6;66-45N;021-03E;;;327;329;
02;169;----;Heden;;Sweden;6;65-52N;021-27E;;;39;36;
02;171;----;Boden;;Sweden;6;65-49N;021-42E;;;16;23;
02;176;----;Ronnskar;;Sweden;6;65-02N;021-34E;;;3;3;
02;181;----;Svartbyn;;Sweden;6;66-16N;022-51E;;;61;62;
02;183;----;Lulea Sol;;Sweden;6;65-33N;022-08E;;;17;;
02;185;----;Lulea / Kallax;;Sweden;6;65-33N;022-08E;65-33N;022-08E;17;34;
02;186;ESPA;Lulea / Kallax;;Sweden;6;65-33N;022-08E;65-33N;022-08E;17;34;P
02;188;----;Rodkallen;;Sweden;6;65-19N;022-23E;65-19N;022-23E;1;0;
02;196;----;Haparanda;;Sweden;6;65-50N;024-09E;;;5;6;P
02;206;----;Storlien-Visjovalen;;Sweden;6;63-18N;012-07E;;;642;644;P
02;209;----;Sylarna;;Sweden;6;63-03N;012-16E;;;1035;;
02;215;----;Areskutan;;Sweden;6;63-26N;013-05E;;;1280;;
02;221;----;Korsvattnet;;Sweden;6;63-50N;013-30E;;;717;0;
02;222;----;Gaddede;;Sweden;6;64-30N;014-08E;;;328;330;P
02;226;ESPC;Ostersund / Froson;;Sweden;6;63-11N;014-30E;63-11N;014-30E;376;370;P
02;229;----;Ostersund Sol;;Sweden;6;63-12N;014-30E;;;376;;
02;244;----;Junsele;;Sweden;6;63-42N;016-52E;;;210;;
02;245;----;Vilhelmina;;Sweden;6;64-35N;016-51E;;;348;349;
02;247;----;Krangede;;Sweden;6;63-09N;016-10E;;;183;184;
02;248;----;Krangede;;Sweden;6;63-10N;016-10E;;;223;;
02;259;ESNK;Kramfors Flygplats;;Sweden;6;63-03N;017-46E;;;10;19;P
02;267;ESNO;Ornskoldsvik Airport;;Sweden;6;63-24N;018-58E;;;103;;
02;269;----;Skagsudde;;Sweden;6;63-11N;019-01E;;;11;0;
02;274;----;Vindeln;;Sweden;6;64-13N;019-43E;;;204;206;P
02;283;----;Umea Robacksdalen;;Sweden;6;63-49N;020-15E;;;10;;
02;284;----;Jarnasklubb;;Sweden;6;63-26N;019-41E;;;5;;
02;286;ESNU;Umea Flygplats;;Sweden;6;63-48N;020-17E;;;7;14;P
02;288;----;Holmogadd;;Sweden;6;63-36N;020-46E;;;6;6;P
02;293;ESNS;Skelleftea Airport;;Sweden;6;64-38N;021-05E;;;49;;
02;296;----;Bjuroklubb;;Sweden;6;64-29N;021-35E;;;36;36;P
02;307;----;Idre;;Sweden;6;61-54N;012-51E;;;875;;
02;308;----;Tannas;;Sweden;6;62-27N;012-40E;;;723;724;
02;316;----;Sarna;;Sweden;6;61-42N;013-10E;;;437;438;P
02;318;----;Tandadalen;;Sweden;6;61-10N;013-01E;;;830;;
02;323;----;Klovsjo;;Sweden;6;62-32N;014-12E;;;550;551;P
02;324;----;Sveg;;Sweden;6;62-02N;014-22E;;;360;360;P
02;338;----;Edsbyn;;Sweden;6;61-22N;015-43E;;;184;185;
02;355;----;Kuggoren;;Sweden;6;61-42N;017-32E;;;8;10;
02;365;----;Sundvall-Harnlsand Flygplats;;Sweden;6;62-32N;017-27E;62-32N;017-27E;6;6;
02;366;ESNN;Sundsvall-Harnosand Flygplats;;Sweden;6;62-32N;017-27E;62-32N;017-27E;4;10;P
02;368;----;Bramon;;Sweden;6;62-13N;017-45E;;;20;;
02;376;ESCL;Soderhamn;;Sweden;6;61-16N;017-06E;;;26;36;P
02;382;----;Lungo;;Sweden;6;62-37N;018-04E;;;10;;
02;400;----;Ostmark;;Sweden;6;60-21N;012-39E;;;308;310;P
02;408;----;Blomskog;;Sweden;6;59-13N;012-05E;;;170;171;
02;410;----;Malung;;Sweden;6;60-41N;013-43E;;;308;308;P
02;415;----;Karlstad Sol;;Sweden;6;59-22N;013-28E;;;46;;
02;417;----;Naven;;Sweden;6;58-42N;013-07E;;;53;0;
02;418;ESSQ;Karlstad Flygplats;;Sweden;6;59-22N;013-28E;;;46;55;P
02;424;----;Stalldalen;;Sweden;6;59-57N;014-57E;;;210;210;P
02;432;----;Orebro;;Sweden;6;59-14N;015-03E;;;53;55;
02;433;----;Falun;;Sweden;6;60-37N;015-40E;;;157;;
02;435;ESSD;Borlange;;Sweden;6;60-26N;015-31E;;;145;0;
02;443;ESSK;Gavle / Sandviken Air Force Base;;Sweden;6;60-36N;016-57E;;;79;;
02;446;ESOW;Vasteras / Hasslo;;Sweden;6;59-35N;016-38E;;;6;31;P
02;450;----;Eggegrund;;Sweden;6;60-44N;017-34E;;;5;;
02;453;----;Gavle;;Sweden;6;60-43N;017-10E;;;16;0;
02;456;----;Films Kyrkby;;Sweden;6;60-14N;017-54E;;;39;39;P
02;458;ESCM;Uppsala;;Sweden;6;59-53N;017-36E;;;21;41;P
02;460;ESSA;Stockholm / Arlanda;;Sweden;6;59-39N;017-57E;;;38;61;P
02;464;ESSB;Stockholm / Bromma;;Sweden;6;59-21N;017-57E;59-21N;017-57E;14;14;
02;476;----;Floda;;Sweden;6;59-03N;016-24E;;;19;20;
02;483;----;Stockholm Kth;;Sweden;6;59-21N;018-04E;;;30;;
02;485;----;Stockholm / Observatoriet;;Sweden;6;59-34N;018-06E;;;44;0;
02;487;----;Stavsnas;;Sweden;6;59-18N;018-42E;;;;13;
02;488;----;Orskar;;Sweden;6;60-32N;018-23E;;;8;9;
02;489;----;Harsfjarden;;Sweden;6;59-04N;018-07E;;;4;9;P
02;496;----;Svenska Hogarna;;Sweden;6;59-27N;019-30E;;;12;12;P
02;499;----;Almagrundet;;Sweden;6;59-09N;019-08E;;;25;;
02;500;----;Nordkoster;;Sweden;6;58-54N;011-00E;;;10;11;P
02;501;----;Vaderoarna;;Sweden;6;58-35N;011-04E;;;;21;
02;505;----;Maseskar;;Sweden;6;58-06N;011-20E;;;16;0;
02;508;----;Maseskar Light House ;;Sweden;6;58-06N;011-21E;;;14;;
02;512;ESGP;Goteborg / Save;;Sweden;6;57-47N;011-53E;;;20;53;P
02;513;----;Goteborg;;Sweden;6;57-42N;012-00E;;;5;;
02;516;----;Vinga;;Sweden;6;57-38N;011-37E;;;19;;
02;517;----;Trubaduren;;Sweden;6;57-36N;011-38E;;;26;;
02;518;----;Nidingen;;Sweden;6;57-18N;011-54E;;;2;0;
